id,studentId,firstName,lastName,dob,userGender,username
3,19125002,Cuong,Nguyen,14/05/2001,Male,19125002
5,19125002,Cuong,Nguyen,14052001,Male,19125002
7,,Hung,Nguyen,18102001,male,yauangon
8,19125064,phat,tu,10-01-2001,male,19125064
9,,loc,truong,01-01-1990,male,tploc
10,,yauangon,nguyen,18102001,male,all
12,,Hung,hung,181545,male,hunghung
13,19125000,Linh,Hoang Chi ,06/08/1998,Female,19125000
14,19125001,Tin,Nguyen Khanh ,20/12/1997,Female,19125001
15,19125002,Thanh,Nguyen Tan ,22/10/1997,Female,19125002
16,19125003,Xen,Cao Thi ,27/08/1997,Male,19125003
17,19125004,Anh,Vu Nguyen Kim ,07/07/1996,Male,19125004
18,19125005,Liem,Le Nho ,29/12/1996,Male,19125005
19,19125006,Thoa,Vo Thi ,02/07/1996,Female,19125006
20,19125007,Thuan,Phan Van ,28/02/1998,Female,19125007
21,19125008,An,Phan Pham Tri ,09/02/1998,Male,19125008
22,19125009,Chung,Chiu Van ,10/02/1996,Male,19125009
23,19125010,Tan,Nguyen Duy ,22/11/1997,Male,19125010
24,19125011,Kha,Vo Hoang ,09/01/1998,Female,19125011
25,19125012,Phi,Pham Thi Yen ,01/01/1997,Male,19125012
26,19125013,Thanh,Vu Van ,26/08/1998,Female,19125013
27,19125014,Toan,Ngo Van Sinh ,21/10/1997,Male,19125014
28,19125015,Tai,Chau Le ,16/02/1996,Female,19125015
29,19125016,Hieu,Mai Xuan ,06/10/1997,Male,19125016
30,19125017,Truc,Tran Thanh ,28/08/1998,Female,19125017
31,19125018,Vy,Vo Thuy ,14/07/1997,Female,19125018
32,19125019,Anh,Do Ngoc Lan ,08/01/1998,Male,19125019
33,19125020,Phong,Duong Van ,22/02/1998,Male,19125020
34,19125021,Phuong,Nguyen Thu ,07/09/1996,Female,19125021
35,19125022,Trung,Vo Thanh ,28/11/1996,Male,19125022
36,19125023,Anh,Nguyen My ,18/02/1996,Male,19125023
37,19125024,Anh,Nguyen Thi Tram ,11/02/1996,Female,19125024
38,19125025,Diep,Tran Thi Ngoc ,23/01/1998,Female,19125025
39,19125026,Linh,Pham My ,03/10/1996,Male,19125026
40,19125027,My,Nguyen Thi Nhu ,11/03/1998,Male,19125027
41,19125028,Nhien,Nguyen Thi Hong ,22/08/1996,Female,19125028
42,19125029,Phi,Pham Phuong ,18/06/1997,Male,19125029
43,19125030,Thao,Tran Thi Thu ,30/08/1998,Female,19125030
44,19125031,Thuy,Nguyen Thi Bich ,07/02/1998,Female,19125031
45,19125032,Tien,Huynh Thi Thuy ,10/04/1996,Male,19125032
46,19125033,Xuan,Truong Thi ,24/08/1997,Male,19125033
47,19125034,Dat,Nguyen Ngoc ,04/06/1996,Male,19125034
48,19125035,Nhan,Le Thi ,21/08/1996,Male,19125035
49,19125036,Tien,Dinh Hoai My ,27/01/1998,Female,19125036
50,19125037,Vinh,Ngo Hoang ,25/10/1997,Male,19125037
51,19125038,Vinh,Nguyen Tu Than ,07/07/1998,Male,19125038
52,19125039,Trinh,Huynh Thi My ,15/02/1998,Male,19125039
53,19125040,Nhu,Nguyen Thi Quynh ,13/02/1996,Female,19125040
54,19125041,Yen,Dinh Thi Hai ,24/04/1997,Male,19125041
55,19125042,Rieu,Kieu Thi Hong ,21/06/1998,Male,19125042
56,19125043,Thuyen,Vi Thi ,14/07/1996,Male,19125043
57,19125044,Bao,Do Trieu ,31/03/1996,Male,19125044
58,19125045,Binh,Do Long ,30/07/1998,Male,19125045
59,19125046,Duc,Nguyen Tat ,11/03/1996,Male,19125046
60,19125047,Thao,Bui Thi Huong ,16/05/1996,Male,19125047
61,19125048,Tinh,Nguyen Trung ,10/10/1996,Female,19125048
62,19125049,Trang,Nguyen Thi ,16/12/1997,Female,19125049
